query,sql
minimum of Central government accounting status.,SELECT min(central_government_accounting_status) FROM spi_index_labelled_vFinal
minimum of Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1 in South Asia.,SELECT min(finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
List of Non_Proprietary format Score of Malaysia in 2011.,SELECT non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE country = 'Malaysia' AND date = 2011
Show me Responsible Consumption and Production of Mauritania after 2010,SELECT responsible_consumption_and_production FROM spi_index_labelled_vFinal WHERE date > 2010 AND country ='Mauritania'
Tell me the Administrative Data of Kuwait in 2005.,SELECT administrative_data FROM spi_index_labelled_vFinal WHERE country = 'Kuwait' AND date = 2005
Top 41 countries by Standards and Methods.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'standards_and_methods' DESC LIMIT 41
List Sustainable Cities and Communities of Angola in 2014,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE country = 'Angola' AND date = 2014
minimum of CPI base year in Sub-Saharan Africa in 2017?,SELECT min(cpi_base_year) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2017
List Countries having Terms of Use Score between 0.0 and 0.2 in 2004.,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.0 AND terms_of_use_score < 0.2 AND date = 2004
"Business/establishment census and Population & Housing census of Macao SAR, China since 2008","SELECT business/establishment_census , population_&_housing_census FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Macao SAR, China'"
total Business/establishment census by region?,"SELECT sum(business/establishment_census), region FROM spi_index_labelled_vFinal GROUP BY region"
count of NADA metadata in North America,SELECT count(nada_metadata) FROM spi_index_labelled_vFinal WHERE region = 'North America'
Tell me the Countries having Data Products Score between 35 and 66?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 35 AND data_products_score < 66
Social Statistics and Climate Action of Italy since 2018?,"SELECT social_statistics , climate_action FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'Italy'"
Countries having Data Sources Score between 9 and 84 in 2017.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 9 AND data_sources_score < 84 AND date = 2017
Life on Land and Business process of Poland since 2004.,"SELECT life_on_land , business_process FROM spi_index_labelled_vFinal WHERE date > 2004 AND country = 'Poland'"
Top 91 countries by Good Health and Well-being.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'good_health_and_well-being' DESC LIMIT 91
List minimum of Population & Housing census in 2006?,SELECT min(population_&_housing_census) FROM spi_index_labelled_vFinal WHERE date = 2006
Countries having SPI Overall Score between 16 and 94 in 2018,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 16 AND spi_overall_score < 94 AND date = 2018
maximum Data services by region,"SELECT max(data_services), region FROM spi_index_labelled_vFinal GROUP BY region"
No Poverty of Singapore before 2010?,SELECT no_poverty FROM spi_index_labelled_vFinal WHERE date < 2010 AND country = 'Singapore'
Finance and Agriculture survey of Gabon since 2019.,"SELECT finance , agriculture_survey FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Gabon'"
Countries having Download Options Score between 0.0 and 0.4 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.4 AND date = 2013
maximum of Business/establishment survey in 2008,SELECT max(business/establishment_survey) FROM spi_index_labelled_vFinal WHERE date = 2008
Legislation Indicator based on PARIS21 indicators on SDG 17.18.2 of Barbados in 2010,SELECT legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2 FROM spi_index_labelled_vFinal WHERE country = 'Barbados' AND date = 2010
Countries having Data Service Score between 67 and 82,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 67 AND data_service_score < 82
Business process and System of national accounts in use of Costa Rica since 2013.,"SELECT business_process , system_of_national_accounts_in_use FROM spi_index_labelled_vFinal WHERE date > 2013 AND country = 'Costa Rica'"
Find the minimum of income in Middle East & North Africa in 2019.,SELECT min(income) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2019
Countries having ODIN Open Data Openness Score between 0.5 and 0.9 in 2007?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.5 AND odin_open_data_openness_score < 0.9 AND date = 2007
Countries having Machine Readability Score between 0.3 and 0.9.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.3 AND machine_readability_score < 0.9
Show me Countries having ODIN Open Data Openness Score between 0.0 and 0.5 in 2019,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.5 AND date = 2019
Data Service Score of Indonesia in 2014.,SELECT data_service_score FROM spi_index_labelled_vFinal WHERE country = 'Indonesia' AND date = 2014
Terms of Use Score of Poland in 2006.,SELECT terms_of_use_score FROM spi_index_labelled_vFinal WHERE country = 'Poland' AND date = 2006
maximum of Population & Housing census?,SELECT max(population_&_housing_census) FROM spi_index_labelled_vFinal
Countries having Data Sources Score between 19 and 43 in 2014?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 19 AND data_sources_score < 43 AND date = 2014
"total of Household Survey on income, etc in Europe & Central Asia in 2006?",SELECT sum(household_survey_on_income_etc) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2006
Population & Housing census of Turkey in 2017?,SELECT population_&_housing_census FROM spi_index_labelled_vFinal WHERE country = 'Turkey' AND date = 2017
List minimum of Zero Hunger in Sub-Saharan Africa in 2004,SELECT min(zero_hunger) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2004
Countries having Metadata Available Score between 0.1 and 0.3?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.1 AND metadata_available_score < 0.3
average of Peace and Justice Strong Institutions,SELECT avg(peace_and_justice_strong_institutions) FROM spi_index_labelled_vFinal
Countries having Data Use Score between 14 and 96?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 14 AND data_use_score < 96
maximum of Health/Demographic survey?,SELECT max(health/demographic_survey) FROM spi_index_labelled_vFinal
Sustainable Cities and Communities of Northern Mariana Islands before 2013,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Northern Mariana Islands'
maximum Business/establishment survey by region?,"SELECT max(business/establishment_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Download Options Score between 0.0 and 0.1?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.1
Zero Hunger of Monaco before 2005?,SELECT zero_hunger FROM spi_index_labelled_vFinal WHERE date < 2005 AND country = 'Monaco'
minimum of Affordable and Clean Energy?,SELECT min(affordable_and_clean_energy) FROM spi_index_labelled_vFinal
Data Infrastructure Score of British Virgin Islands in 2007.,SELECT data_infrastructure_score FROM spi_index_labelled_vFinal WHERE country = 'British Virgin Islands' AND date = 2007
Show me Top 37 countries by Business/establishment census?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'business/establishment_census' DESC LIMIT 37
average of Responsible Consumption and Production in Middle East & North Africa in 2016.,SELECT avg(responsible_consumption_and_production) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2016
Non_Proprietary format Score and Data Infrastructure Score of Turkmenistan since 2017,"SELECT non_proprietary_format_score , data_infrastructure_score FROM spi_index_labelled_vFinal WHERE date > 2017 AND country = 'Turkmenistan'"
Quality Education and weights of Albania since 2004,"SELECT quality_education , weights FROM spi_index_labelled_vFinal WHERE date > 2004 AND country = 'Albania'"
Show me SPI Overall Score and Metadata Available Score of Aruba since 2005?,"SELECT spi_overall_score , metadata_available_score FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'Aruba'"
Countries having Data Products Score between 15 and 35,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 15 AND data_products_score < 35
List count of Safely Managed Drinking Water in Latin America & Caribbean in 2006,SELECT count(safely_managed_drinking_water) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2006
Tell me the average of Data Releases in South Asia,SELECT avg(data_releases) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
List Reduced Inequality of Kuwait in 2017?,SELECT reduced_inequality FROM spi_index_labelled_vFinal WHERE country = 'Kuwait' AND date = 2017
Countries having Download Options Score between 0.1 and 0.5?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.5
Countries having Data Products Score between 15 and 22,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 15 AND data_products_score < 22
Health/Demographic survey of Burkina Faso before 2014.,SELECT health/demographic_survey FROM spi_index_labelled_vFinal WHERE date < 2014 AND country = 'Burkina Faso'
Social Statistics and Social Statistics of Equatorial Guinea since 2012,"SELECT social_statistics , social_statistics FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Equatorial Guinea'"
Show me Countries having ODIN Open Data Openness Score between 0.1 and 0.6,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.1 AND odin_open_data_openness_score < 0.6
iso3c of Northern Mariana Islands in 2007?,SELECT iso3c FROM spi_index_labelled_vFinal WHERE country = 'Northern Mariana Islands' AND date = 2007
Countries having ODIN Open Data Openness Score between 0.0 and 0.1 in 2014,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.1 AND date = 2014
Geospatial data available at 1st Admin Level of Algeria before 2009.,SELECT geospatial_data_available_at_1st_admin_level FROM spi_index_labelled_vFinal WHERE date < 2009 AND country = 'Algeria'
Business process of Colombia after 2015.,SELECT business_process FROM spi_index_labelled_vFinal WHERE date > 2015 AND country ='Colombia'
Top 18 countries by Central government accounting status.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'central_government_accounting_status' DESC LIMIT 18
Show me Download Options Score of Comoros in 2014.,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Comoros' AND date = 2014
Countries having Non_Proprietary format Score between 0.0 and 0.1.,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.1
List Life on Land of Bolivia in 2016?,SELECT life_on_land FROM spi_index_labelled_vFinal WHERE country = 'Bolivia' AND date = 2016
Good Health and Well-being of Denmark after 2004.,SELECT good_health_and_well-being FROM spi_index_labelled_vFinal WHERE date > 2004 AND country ='Denmark'
Countries having SPI Overall Score between 68 and 92,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 68 AND spi_overall_score < 92
maximum of CRVS (WDI) in Europe & Central Asia?,SELECT max(crvs_(wdi)) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
"Industry, Innovation and Infrastructure of Iceland in 2006.",SELECT industry_innovation_and_infrastructure FROM spi_index_labelled_vFinal WHERE country = 'Iceland' AND date = 2006
Top 74 countries by Partnerships to achieve the Goal.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'partnerships_to_achieve_the_goal' DESC LIMIT 74
Top 40 countries by Responsible Consumption and Production,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'responsible_consumption_and_production' DESC LIMIT 40
Countries having Non_Proprietary format Score between 0.3 and 0.8 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.3 AND non_proprietary_format_score < 0.8 AND date = 2013
"Tell me the Labor force participation rate by sex and age of Congo, Rep. after 2017?","SELECT labor_force_participation_rate_by_sex_and_age FROM spi_index_labelled_vFinal WHERE date > 2017 AND country ='Congo, Rep.'"
maximum of Availability of Comparable Poverty headcount ratio at 1.90 a day in South Asia in 2005.,SELECT max(availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2005
